fecha,municipio,promedio_pm25,promedio_pm10,promedio_o3,promedio_no2,ica_promedio_pm25,casos_sari_inusitada,casos_misc_pediatrico,casos_totales_respiratorios,pm25_media_movil_7d,pm25_media_movil_30d,categoria_ica_pm25,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_4,pm25_lag_5,pm25_lag_6,pm25_lag_7,poblacion_estimada,tasa_sari_por_100k,tasa_total_por_100k
2023-08-05,BARBOSA,10.66,18.06,33.17,6.45,44.4,0,0,0,14.1,12.5,Buena,15.46,19.43,14.36,15.87,13.99,8.93,9.11,55000,0.0,0.0
2023-08-06,BARBOSA,14.22,21.32,26.12,7.99,54.4,0,0,0,14.86,12.53,Regular / Aceptable,10.66,15.46,19.43,14.36,15.87,13.99,8.93,55000,0.0,0.0
2023-08-07,BARBOSA,18.37,34.36,29.05,17.28,62.7,0,0,0,15.48,12.79,Regular / Aceptable,14.22,10.66,15.46,19.43,14.36,15.87,13.99,55000,0.0,0.0
2023-08-08,BARBOSA,14.09,29.21,25.48,15.14,54.2,0,0,0,15.23,12.93,Regular / Aceptable,18.37,14.22,10.66,15.46,19.43,14.36,15.87,55000,0.0,0.0
2023-08-09,BARBOSA,19.53,36.64,32.64,16.36,65.1,0,0,0,15.97,13.18,Regular / Aceptable,14.09,18.37,14.22,10.66,15.46,19.43,14.36,55000,0.0,0.0
2023-08-10,BARBOSA,15.63,36.29,20.37,12.97,57.3,0,0,0,15.42,13.14,Regular / Aceptable,19.53,14.09,18.37,14.22,10.66,15.46,19.43,55000,0.0,0.0
2023-08-11,BARBOSA,17.43,36.75,17.11,12.15,60.9,0,0,0,15.7,13.33,Regular / Aceptable,15.63,19.53,14.09,18.37,14.22,10.66,15.46,55000,0.0,0.0
2023-08-12,BARBOSA,13.89,26.04,26.52,9.9,53.8,0,0,0,16.17,13.36,Regular / Aceptable,17.43,15.63,19.53,14.09,18.37,14.22,10.66,55000,0.0,0.0
2023-08-13,BARBOSA,14.47,32.53,16.74,10.25,54.9,0,0,0,16.2,13.39,Regular / Aceptable,13.89,17.43,15.63,19.53,14.09,18.37,14.22,55000,0.0,0.0
2023-08-14,BARBOSA,16.63,35.71,25.89,12.96,59.3,0,0,0,15.95,13.56,Regular / Aceptable,14.47,13.89,17.43,15.63,19.53,14.09,18.37,55000,0.0,0.0
2023-08-15,BARBOSA,16.63,31.34,26.21,16.99,59.3,0,0,0,16.32,13.8,Regular / Aceptable,16.63,14.47,13.89,17.43,15.63,19.53,14.09,55000,0.0,0.0
2023-08-16,BARBOSA,16.39,28.7,22.22,10.95,58.8,0,0,0,15.87,13.89,Regular / Aceptable,16.63,16.63,14.47,13.89,17.43,15.63,19.53,55000,0.0,0.0
2023-08-17,BARBOSA,15.61,30.23,23.33,15.25,57.2,0,0,0,15.86,13.98,Regular / Aceptable,16.39,16.63,16.63,14.47,13.89,17.43,15.63,55000,0.0,0.0
2023-08-18,BARBOSA,15.42,26.09,30.86,13.37,56.8,0,0,0,15.58,14.07,Regular / Aceptable,15.61,16.39,16.63,16.63,14.47,13.89,17.43,55000,0.0,0.0
2023-08-19,BARBOSA,9.56,17.86,18.49,9.88,39.8,0,0,0,14.96,13.89,Buena,15.42,15.61,16.39,16.63,16.63,14.47,13.89,55000,0.0,0.0
2023-08-20,BARBOSA,12.97,26.77,29.66,10.06,51.9,0,0,0,14.74,13.95,Regular / Aceptable,9.56,15.42,15.61,16.39,16.63,16.63,14.47,55000,0.0,0.0
2023-08-21,BARBOSA,19.22,33.34,30.58,16.4,64.4,0,0,0,15.11,14.25,Regular / Aceptable,12.97,9.56,15.42,15.61,16.39,16.63,16.63,55000,0.0,0.0
2023-08-22,BARBOSA,15.65,40.31,23.78,13.74,57.3,0,0,0,14.97,14.51,Regular / Aceptable,19.22,12.97,9.56,15.42,15.61,16.39,16.63,55000,0.0,0.0
2023-08-23,BARBOSA,17.81,37.86,34.69,13.04,61.6,0,0,0,15.18,14.74,Regular / Aceptable,15.65,19.22,12.97,9.56,15.42,15.61,16.39,55000,0.0,0.0
